,SEQNOS,TRAIN_NAME_NUMBER,RAILROAD_NAME,TRAIN_TYPE,TRACK_SPEED,TRAIN_SPEED,TRAIN_DIRECTION,NUMBER_LOCOMOTIVES,NUMBER_CARS,NUMBER_DERAILED,NON_COMPLIANCE_WITH_HAZMAT
253,1270418,379,KEOLIS COMMUTER SERVICES,PASSENGER,,,,,,1.0,U
254,1270419,NONE,NO TRAIN INVOLVED,OTHER,,,,,,,U
255,1270443,P09005,AMTRAK,PASSENGER,,,N,,,,U
256,1270457,ENGINE 161,LONG ISLAND RAILROAD,OTHER,,,,1.0,3.0,1.0,N
257,1270458,P624,SOUTH FLORIDA REGIONAL TRANSPORT AUTH,COMMUTER,,,N,1.0,3.0,,U
258,1270495,128,SPERRY RAIL SERVICE (SRS),OTHER,,5.0,E,,,,U
259,1270497,66 OF THE 5TH,AMTRAK,PASSENGER,,104.0,E,2.0,7.0,,U
260,1270533,UP6717,UNION PACIFIC RAILROAD,LOCOMOTIVE,,,,,,,U
261,1270581,UP6717 (SINGLE LOCOMOTIVE),UNION PACIFIC,FREIGHT,,,,1.0,,,U
262,1270583,UTLX213404,PADUCAH & LOUISVILLE RAILWAY,RAIL CAR,,,,,,,U
263,1270598,CSXT6072,CSX RAILROAD,LOCOMOTIVE,,,,,,,U
264,1270600,523,KEOLIS COMMUTER SERVICES,PASSENGER,,,W,,,,U
265,1270607,A703106A,AMTRAK,PASSENGER,,,W,2.0,5.0,,U
266,1270615,MWCPT OF THE 5TH,UNION PACIFIC RAILROAD,FREIGHT,,,,3.0,113.0,,U
267,1270675,NO TRAIN,NORFOLK SOUTHER,OTHER,,,,,,,N
268,1270685,6 (07),AMTRAK,PASSENGER,35.0,,E,2.0,9.0,,U
269,1270698,238.06,NORFOLK SOUTHERN,FREIGHT,,,S,3.0,44.0,11.0,U
270,1270718,ZLTG2B OF THE 5TH / UP8373,UNION PACIFIC RAILROAD,FREIGHT,,,E,4.0,108.0,,U
271,1270720,ZLTG 2B OF THE 5TH,UNION PACIFIC RAILROAD,FREIGHT,,,E,4.0,108.0,,N
272,1270721,66Z06,NORFOLK SOUTHERN RAILROAD,FREIGHT,,,E,2.0,89.0,6.0,U
273,1270723,QLACNWH608L,BNSF RAILWAY,FREIGHT,,,E,4.0,76.0,,U
274,1270736,CBTMPCT007A,BNSF RAILWAY,FREIGHT,,,W,3.0,135.0,16.0,U
275,1270738,CSXT831,CSX RAILROAD,LOCOMOTIVE,,,,,,,U
276,1270748,MSHCX OF THE 8TH,KANSAS CITY SOUTHERN RAILWAY,FREIGHT,,,,,,,U
277,1270756,125,SEPTA,PASSENGER,,,,,,,U
278,1270774,14,AMTRAK,PASSENGER,50.0,50.0,N,2.0,8.0,,N
279,1270781,2LNO335-07,KANSAS CITY SOUTHERN RAILWAY,FREIGHT,,,,,,,U
280,1270784,UCAKGRB015,BNSF RAILWAY,FREIGHT,,,S,4.0,126.0,,U
281,1270836,CBKMSLP025,BNSF RAILWAY,FREIGHT,,,S,4.0,120.0,,U
